City_ID,City_Weather,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Weather Description
382,382,Guamuchil,MX,25.4667,-108.1,99.68,30,0,6.87,clear sky
383,383,Stornoway,GB,58.2093,-6.3865,48.16,89,40,5.75,scattered clouds
384,384,Merauke,ID,-8.4667,140.3333,81.37,80,100,8.1,light rain
385,385,Romny,UA,50.751,33.4747,43.09,78,76,12.71,broken clouds
386,386,Sayyan,YE,15.1718,44.3244,55.53,39,22,6.02,few clouds
387,387,Zyryanka,RU,65.75,150.85,16.59,94,99,5.59,overcast clouds
388,388,Ust-Omchug,RU,61.15,149.6333,14.4,92,100,1.54,overcast clouds
389,389,Maningrida,AU,-12.0667,134.2667,84.31,56,50,8.03,scattered clouds
390,390,Zhicheng,CN,30.2956,111.5047,51.84,58,49,3.24,scattered clouds
391,391,Ginir,ET,7.1333,40.7,57.11,85,70,4.27,light rain
392,392,Bambous Virieux,MU,-20.3428,57.7575,71.85,83,40,8.05,scattered clouds
393,393,Bintulu,MY,3.1667,113.0333,75.61,94,40,3.44,scattered clouds
394,394,Dubbo,AU,-32.25,148.6167,57.33,77,100,16.11,overcast clouds
395,395,Sipe Sipe,BO,-17.45,-66.3833,73.89,54,8,8.12,clear sky
396,396,Port-Cartier,CA,50.0334,-66.8654,42.75,66,100,13.13,overcast clouds
397,397,Abu Kamal,SY,34.4506,40.9171,73.29,38,1,5.68,clear sky
398,398,Semporna,MY,4.4818,118.6112,79.47,84,100,4.88,moderate rain
399,399,Kuytun,RU,54.3419,101.5036,39.0,95,100,6.26,overcast clouds
400,400,Arrecife,ES,28.963,-13.5477,71.58,73,20,5.75,few clouds
401,401,Price,US,39.5994,-110.8107,74.12,21,0,5.75,clear sky
402,402,Puerto Del Rosario,ES,28.5004,-13.8627,71.35,78,20,10.36,few clouds
403,403,Mchinji,MW,-13.7984,32.8802,66.47,33,0,4.41,clear sky
404,404,Leshukonskoye,RU,64.8989,45.7622,41.07,91,99,9.26,overcast clouds
405,405,Soyo,AO,-6.1349,12.3689,76.33,85,6,5.86,clear sky
406,406,Tikrit,IQ,34.6071,43.6782,73.15,38,5,8.72,clear sky
407,407,Ouadda,CF,8.0777,22.4007,67.35,95,100,1.19,light rain
408,408,Ambon,ID,-3.6954,128.1814,75.34,100,20,8.05,few clouds
409,409,West Bay,KY,19.3667,-81.4167,86.07,82,20,6.91,few clouds
410,410,Nantucket,US,41.2835,-70.0995,62.71,73,100,11.5,overcast clouds
411,411,Faya,SA,18.3851,42.4509,61.32,30,5,4.92,clear sky
412,412,Benjamin Constant,BR,-4.3831,-70.0311,89.73,62,0,3.44,clear sky
413,413,Mbanza-Ngungu,CD,-5.25,14.8667,72.27,79,46,2.48,light rain
414,414,Tuatapere,NZ,-46.1333,167.6833,50.09,70,97,11.7,overcast clouds
415,415,Novobiryusinskiy,RU,56.9578,97.7076,41.97,87,99,10.47,overcast clouds
416,416,Ulladulla,AU,-35.35,150.4667,58.48,63,52,4.52,light rain
417,417,Tarakan,ID,3.3,117.6333,77.83,85,100,7.27,overcast clouds
418,418,Atbasar,KZ,51.8,68.3333,43.63,66,25,8.37,scattered clouds
419,419,Karema,TZ,-6.8205,30.4389,77.34,45,80,3.69,broken clouds
420,420,Mitsamiouli,KM,-11.3847,43.2844,75.07,75,4,6.69,clear sky
421,421,San Vicente,AR,-26.6167,-54.1333,56.19,100,100,0.34,overcast clouds
422,422,Aksu,CN,41.1231,80.2644,52.12,48,1,8.99,clear sky
423,423,Gold Coast,AU,-28.0,153.4333,72.9,74,40,10.36,scattered clouds
424,424,Huaiyin,CN,33.5886,119.0192,46.92,48,2,4.0,clear sky
425,425,Port Lincoln,AU,-34.7333,135.8667,64.09,60,97,18.07,overcast clouds
426,426,Morahalom,HU,46.2181,19.8851,55.42,69,77,5.5,broken clouds
427,427,Chemal,RU,51.4111,86.005,35.8,94,41,3.65,scattered clouds
